fold,max_depth,nrounds,alpha,gamma,eta,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,2,20,10,5,0.5,0.21651236376421,0.206753962784287,0.00975840097992284,0.785208790817602,0.776100064804867,0.0091087260127356,21457500,5018750,16438750,180,3005,43774,112
1,2,20,10,5,0.7,0.228551988618791,0.216646266829865,0.011905721788926,0.78761105680376,0.773795546063727,0.0138155107400337,22581250,5203750,17377500,177,2740,44039,115
1,2,20,10,5,1,0.236650485436893,0.214986170480262,0.0216643149566317,0.789838035926921,0.764611806257755,0.0252262296691659,23320000,5038750,18281250,171,2638,44141,121
1,2,20,10,10,0.3,0.201300120179176,0.189385833511663,0.0119142866675135,0.781033811801328,0.767510674647065,0.0135231371542626,19807500,4468750,15338750,177,3328,43451,115
1,2,20,10,10,0.5,0.215022263885634,0.204105166051661,0.0109170978339734,0.783049674784278,0.771112718299131,0.011936956485147,21205000,4890000,16315000,177,2991,43788,115
1,2,20,10,10,0.7,0.224261275272162,0.213310580204778,0.0109506950673836,0.780103316709854,0.77016780594969,0.00993551076016441,21796250,5082500,16713750,175,2759,44020,117
1,2,20,10,10,1,0.231097794211399,0.212311557788945,0.018786236422454,0.782865801797957,0.761133705939353,0.021732095858604,22482500,4935000,17547500,169,2643,44136,123
1,3,20,0,0,0.3,0.222020710232259,0.205637707948244,0.0163830022840148,0.793751729578799,0.772921244077734,0.0208304855010648,22423750,4950000,17473750,178,2982,43797,114
1,3,20,0,0,0.5,0.2364058963851,0.211844005777564,0.0245618906075362,0.801770372608011,0.77133501831843,0.0304353542895813,24053750,5067500,18986250,176,2810,43969,116
1,3,20,0,0,0.7,0.254066322027487,0.210383858267717,0.0436824637597705,0.817286604750796,0.763681901813453,0.0536047029373432,26312500,4930000,21382500,171,2725,44054,121
1,3,20,0,0,1,0.255045190045809,0.201284267720425,0.0537609223253843,0.824259914147003,0.750058091574284,0.0742018225727189,26847500,4548750,22298750,163,2718,44061,129
1,3,20,0,5,0.3,0.218062187026901,0.204899267399267,0.0131629196276337,0.789227741693538,0.774216719128446,0.0150110225650913,21822500,4950000,16872500,179,3021,43758,113
1,3,20,0,5,0.5,0.241222530942157,0.217878486055777,0.0233440448863803,0.799264398240186,0.771087021837161,0.0281773764030249,24245000,5190000,19055000,175,2673,44106,117
1,3,20,0,5,0.7,0.248623909951141,0.208848245180425,0.039775664770716,0.815604744939289,0.760428261188503,0.055176483750786,25828750,4852500,20976250,169,2709,44070,123
