max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,diff_percent
3,20,10,5,0.152099968658199,0.145188189617413,0.872723177421087
2,30,15,0,0.153433794353089,0.145145848277985,1.04648638075342
3,40,20,10,0.154412083257529,0.145102608254925,1.1754708240024
3,40,15,15,0.15275035179316,0.145075943166306,0.969017418255717
2,30,5,20,0.151212190046949,0.145069544304911,0.775607738344925
2,40,5,20,0.151814677571148,0.144861628610647,0.877934168000129
3,30,15,15,0.152480607185229,0.144809016688546,0.968661584033711
3,20,5,0,0.151647387189392,0.144776674287461,0.867537917450507
3,20,0,10,0.152332165664109,0.144695341035816,0.964271834455787
1,40,10,0,0.149403772233068,0.144305788298198,0.643702397288359
3,20,5,5,0.148781816298194,0.144121528600395,0.588436213501619
1,40,5,20,0.14759236300813,0.144063375410163,0.445591395703398
3,20,5,20,0.15003438684414,0.143955259445562,0.767587526731915
2,30,10,5,0.152442108752695,0.143868019460361,1.08261656030124
2,40,15,15,0.148710002129184,0.143683054332923,0.63473294322564
1,40,5,0,0.150058898429265,0.14342407654382,0.837752885808424
2,30,15,10,0.147662522688952,0.143168310466893,0.567466515826875
2,30,10,20,0.148859194020998,0.143163036089951,0.7192314770685
3,20,0,15,0.150681773641388,0.143141998741724,0.952017746609896
2,30,15,15,0.148472338257355,0.143108507164153,0.677269873239039
3,20,0,0,0.155234492275918,0.142909713249066,1.55620141353719
3,30,20,15,0.147798116691483,0.142901912684579,0.618224438743185
3,20,10,0,0.151171101213603,0.142798437586447,1.05718333312617
3,40,20,15,0.147643604685508,0.142719126813601,0.621794468565858
3,40,20,20,0.148144532129138,0.142316051745643,0.735939313135479
1,40,10,5,0.148484248190248,0.142275118486775,0.784002406885224
3,30,20,10,0.151903139821491,0.142271412856811,1.21616031286093
3,30,20,20,0.147418663382185,0.14225185449053,0.652392654111762
2,40,10,20,0.148632395386376,0.142185233341472,0.814057815213118
3,20,0,20,0.148765251393352,0.141811107071606,0.878072474959843
3,40,15,20,0.149411295354825,0.141792468378952,0.961999341612323
3,20,15,5,0.147785228621134,0.141740454181937,0.763249913551911
3,20,10,20,0.147090828501145,0.141663724589947,0.685259083316515
1,40,5,5,0.149757899729617,0.141497693105464,1.0429838292929
1,40,10,10,0.148704106169428,0.141495686921842,0.910178770590675
3,20,0,5,0.153933205547501,0.141371559085799,1.58610973368878
3,30,15,20,0.149311136895599,0.141317851558505,1.00928072732902
3,20,15,15,0.145960836557586,0.141038003414898,0.62158679507096
3,20,20,0,0.147742289502566,0.141002883339017,0.85095833160707
3,20,10,15,0.147445051645526,0.140932168800966,0.822356122314604
2,30,20,0,0.150500469922624,0.140901098916569,1.21207485311856
1,40,10,15,0.146881064139407,0.140888537543168,0.756652783746367
2,40,20,10,0.148246649572235,0.140717899150465,0.95062572911041
3,20,15,0,0.150192728269495,0.140540978061411,1.21868856911778
1,40,15,10,0.146774824580454,0.140164458519415,0.834664944967631
1,40,20,0,0.145517450205397,0.1400031025119,0.696275012854935
1,40,20,10,0.144257380388231,0.139991035762922,0.538694569864324
2,30,20,10,0.148372362020224,0.139820640362422,1.07979228698969
1,40,15,0,0.145882806326501,0.139755451077352,0.773677067896648
