feature,auc,auc_norm
internet,0.999919176528995,1
mcuentas_saldo,0.999483839177869,0.651571919572729
chomebanking_transacciones,0.999276510035645,0.485633263367055
tmobile_app,0.999089251892672,0.335758700268514
ccuenta_corriente,0.999086961854152,0.333925837263802
Visa_Finiciomora,0.999078948160118,0.327511969898124
Master_Finiciomora,0.99907651334449,0.325563232594746
Visa_delinquency,0.999076476535658,0.325533772153627
mcuenta_corriente,0.999073051941488,0.322792852336258
mactivos_margen,0.999069585007517,0.320018045291563
ctarjeta_visa_descuentos,0.999065075512236,0.316408810338144
thomebanking,0.999056636922143,0.309654871719874
cmobile_app_trx,0.999038487833033,0.295129005138856
Master_fultimo_cierre,0.999002659499344,0.266453318341739
cprestamos_personales,0.998753806548855,0.0672805259691343
Visa_fultimo_cierre,0.998669744076273,0
