feature,auc,auc_norm
ctarjeta_master_debitos_automaticos,0.988852629366907,0.390363389376567
Master_mconsumototal,0.988852577665658,0.390353483599099
Master_Fvencimiento,0.98885255458449,0.39034906132849
mactivos_margen,0.988852530701276,0.39034448538869
mpagodeservicios,0.988852521777832,0.390342775688206
mplazo_fijo_pesos,0.988852488649694,0.390336428453516
mcheques_depositados,0.988852473916005,0.390333605530491
mforex_buy,0.988852468502269,0.390332568277838
mpayroll2,0.98885243907322,0.390326929775405
cpayroll_trx,0.988852423064844,0.390323862626936
Visa_madelantodolares,0.988852401936241,0.390319814460828
mforex_sell,0.988852387676697,0.390317082382371
thomebanking,0.988852387394857,0.390317028382819
ctarjeta_master_transacciones,0.98885237838433,0.390315301997644
mcuenta_corriente_adicional,0.988852362179573,0.39031219722307
ctarjeta_visa_debitos_automaticos,0.988852242363882,0.390289240958073
Visa_mpagominimo,0.988852198293951,0.390280797314278
mtarjeta_visa_consumo,0.988852177297165,0.390276774403993
tpaquete3,0.988852145106161,0.390270606720782
mcuenta_debitos_automaticos,0.988852125812116,0.390266910049717
ctransferencias_emitidas,0.98885208206963,0.390258529143224
Master_fechaalta,0.988852058470486,0.390254007630257
tmobile_app,0.988852020133113,0.390246662324325
mttarjeta_visa_debitos_automaticos,0.988851999836146,0.390242773496917
cseguro_vivienda,0.988851999114495,0.390242635230982
ccomisiones_otras,0.988851866969167,0.390217316650882
mcajeros_propios_descuentos,0.98885186050262,0.390216077683354
Visa_mpagosdolares,0.988851855092824,0.390215041185435
mprestamos_hipotecarios,0.988851845364919,0.390213177353106
mcheques_emitidos_rechazados,0.988851822947098,0.390208882177308
mautoservicio,0.988851778555149,0.390200376836067
cseguro_accidentes_personales,0.988851760261914,0.39019687191657
mpagomiscuentas,0.988851723800058,0.390189885953262
matm_other,0.988851707472884,0.390186757724092
mrentabilidad,0.988851675665473,0.390180663535981
cforex_buy,0.988851518678362,0.390150585357674
ccajas_consultas,0.98885151653655,0.39015017499408
mtarjeta_visa_descuentos,0.988851431500533,0.390133882392203
Visa_madelantopesos,0.988851426750833,0.390132972366479
minversion1_dolares,0.988851419617959,0.390131605732872
ccajas_otras,0.988851396225353,0.390127123791798
mcaja_ahorro_adicional,0.988851380679311,0.390124145224844
mcomisiones,0.98885128724779,0.390106244074042
cpagomiscuentas,0.988851272928349,0.390103500519514
tcallcenter,0.988851216159093,0.390092623729662
Master_mlimitecompra,0.988851200218746,0.390089569615293
minversion1_pesos,0.988851195371433,0.390088640887171
Visa_cadelantosefectivo,0.988851186447335,0.390086931061292
Master_msaldodolares,0.988851182636362,0.390086200892314
mcaja_ahorro,0.988851056232152,0.39006198229013
cforex,0.988850961582042,0.390043847662109
Visa_Finiciomora,0.988850904832989,0.390032974742965
cprestamos_hipotecarios,0.988850783215762,0.390009673310065
Master_mpagosdolares,0.988850640829656,0.389982392632916
mcomisiones_mantenimiento,0.988850472978791,0.389950232997549
tpaquete1,0.988850338710177,0.38992450760332
minversion2,0.988850282909844,0.389913816455654
ccheques_emitidos_rechazados,0.988850203889479,0.389898676431624
ccaja_seguridad,0.988850134752151,0.389885429962822
Master_fultimo_cierre,0.986815204758963,0
