max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff
4,30,5,0,0.181286990973995,0.181286990973995,0.0326589304524609,0.73899589823362,0.698347405708126,0.0481397699006161,9002125,691125,8311000
3,40,0,5,0.181062634689547,0.181062634689547,0.030937554286616,0.741125068843704,0.698052656928886,0.0456966532940128,9037375,672375,8365000
4,40,5,5,0.18191456826311,0.18191456826311,0.0358677087802097,0.738037206993368,0.692599690496688,0.0510817746825309,9024250,649000,8375250
3,40,0,0,0.186085414394582,0.186085414394582,0.0384617931550024,0.747856262008599,0.692929116383248,0.0559781288395265,9525375,634625,8890750
4,40,10,0,0.190410902540418,0.190410902540418,0.0415935965690135,0.748126625679484,0.692270060834673,0.0593970558088576,9801000,662875,9138125
4,30,0,5,0.190365572799757,0.190365572799757,0.0455376705320483,0.751012325810495,0.688713237880608,0.0652503370789377,9873500,617875,9255625
4,30,0,0,0.196154437453738,0.196154437453738,0.0455606113015577,0.761777067041373,0.695106037532165,0.0666710295092079,10511875,664625,9847250
4,40,5,0,0.202757623830321,0.202757623830321,0.0529720725024773,0.768481926646915,0.693234723829574,0.0752472028173404,11084125,654500,10429625
4,40,0,5,0.207041068455143,0.207041068455143,0.0564586711019803,0.777435916199187,0.697965870574805,0.0794700456243816,11591250,668750,10922500
4,40,0,0,0.217318545742409,0.217318545742409,0.0654548533247033,0.792768650951074,0.698745236835519,0.094023414115555,12630125,681250,11948875
