max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff
2,30,10,10,0.151706505807668,0.151706505807668,0.0172864321017755,0.706049742469482,0.69792401412079,0.0252832214036851,6215000,631625,5583375
2,30,10,5,0.151461188850084,0.151461188850084,0.0172305151698307,0.70742705295929,0.699572330773879,0.0252196112690284,6216875,630625,5586250
2,30,10,0,0.152619065767949,0.152619065767949,0.0183383046957922,0.707674034955293,0.696497623822816,0.0273026129464066,6314625,614875,5699750
2,30,5,10,0.15344418996733,0.15344418996733,0.0163563706678553,0.706963560651236,0.696825871049654,0.023888926133093,6367875,634125,5733750
2,30,5,0,0.154656880767531,0.154656880767531,0.0184324781332213,0.708763993556314,0.69612750433681,0.0269918370198002,6493625,626375,5867250
2,40,10,10,0.155503688509404,0.155503688509404,0.0170618232094056,0.708190865705322,0.698305949444787,0.0241338705492893,6553500,655000,5898500
2,30,5,5,0.155904469787393,0.155904469787393,0.0204013952708206,0.708254532277261,0.698342592604911,0.0296185723156223,6587375,658125,5929250
2,30,0,10,0.156523534076511,0.156523534076511,0.0218156892391759,0.708219385607361,0.696522229928732,0.0310449420956394,6635125,650500,5984625
2,30,0,5,0.157049237500946,0.157049237500946,0.020089304430252,0.709137743889146,0.699645760889685,0.0282843876456375,6691000,668625,6022375
2,30,0,0,0.157503811106253,0.157503811106253,0.0211309521747596,0.708685927437128,0.696560186820898,0.0303602713156487,6716375,651750,6064625
2,40,5,10,0.158935199791557,0.158935199791557,0.0164416997578455,0.71078743417508,0.698489260777203,0.0236731813275771,6869625,665750,6203875
3,30,10,10,0.160974093303691,0.160974093303691,0.019189673013016,0.709922396673475,0.699554650709021,0.0269012636018529,7006125,696000,6310125
2,40,10,5,0.159954503874629,0.159954503874629,0.0170639913327151,0.714872301367319,0.702191802819823,0.0245428412413403,7014750,684625,6330125
3,40,10,10,0.161871968474666,0.161871968474666,0.0185017419799773,0.708760688873557,0.697238201193986,0.0256371173139748,7052125,692000,6360125
2,40,10,0,0.161719614413447,0.161719614413447,0.0194528055812736,0.716358102501651,0.701593609062282,0.0286866311912949,7173500,682750,6490750
2,40,0,10,0.161947122594442,0.161947122594442,0.0213549096968578,0.715683753055698,0.70099814864994,0.0300009883539843,7179625,682500,6497125
3,30,5,10,0.162738257149661,0.162738257149661,0.0196549016941496,0.715665564861111,0.702489082259211,0.0279099082396648,7236000,704500,6531500
2,40,5,5,0.162385539714701,0.162385539714701,0.0172081569481887,0.717945042624524,0.702869265937308,0.0255114514664755,7252000,692125,6559875
3,30,10,5,0.162635264747843,0.162635264747843,0.0205705375009593,0.717657639889008,0.699042897461021,0.0305815196541199,7265625,665500,6600125
3,40,5,10,0.164103206114916,0.164103206114916,0.0182482737238578,0.71514968672863,0.702689642031517,0.0264802994458569,7325875,716750,6609125
