fold,max_depth,nrounds,alpha,gamma,train_f2_score,val_f2_score,f2_score_diff,train_auc,val_auc,auc_diff,train_gain,val_gain,gain_diff,val_tp,val_fp,val_tn,val_fn
1,4,30,10,10,0.166735494528185,0.166735494528185,0.0234690188834859,0.715813192393954,0.679693079535351,0.0361201128586035,7532500,576250,6956250,30,709,22749,47
1,4,30,10,15,0.161023947151115,0.161023947151115,0.0226651685251606,0.707902748201988,0.673156943661676,0.0347458045403123,6980000,525000,6455000,29,711,22747,48
1,4,30,15,0,0.177260331445353,0.177260331445353,0.0383714425564645,0.726953685856679,0.673242202422013,0.0537114834346655,8472500,530000,7942500,29,707,22751,48
1,4,30,15,5,0.167857142857143,0.167857142857143,0.0274077046548956,0.719855409170767,0.679245471043578,0.0406099381271889,7690000,550000,7140000,30,730,22728,47
1,4,30,15,10,0.167863175675676,0.167863175675676,0.0268125920180881,0.712726507317081,0.673583237463364,0.0391432698537171,7550000,550000,7e+06,29,691,22767,48
1,4,30,15,15,0.152129817444219,0.152129817444219,0.0132409285553302,0.708483924039866,0.684737187103118,0.0237467369367486,6298750,540000,5758750,31,777,22681,46
1,6,30,0,0,0.270652393455868,0.270652393455868,0.136888555817491,0.868384884025211,0.672389614818637,0.195995269206574,17912500,480000,17432500,29,747,22711,48
1,6,30,0,5,0.240467717336045,0.240467717336045,0.0938132718731666,0.823265417437595,0.691784875538819,0.131480541898776,14846250,621250,14225000,32,751,22707,45
1,6,30,0,10,0.213079739625712,0.213079739625712,0.0827259221210565,0.78446268519761,0.66608794053589,0.11837474466172,12150000,442500,11707500,28,738,22720,49
1,6,30,0,15,0.180056917688266,0.180056917688266,0.0450569176882662,0.721427967087791,0.661150406418545,0.0602775606692459,8520000,485000,8035000,27,665,22793,50
1,6,30,5,0,0.238070376944764,0.238070376944764,0.108636052879567,0.811658529745751,0.660233874744916,0.151424655000835,14318750,431250,13887500,27,708,22750,50
1,6,30,5,5,0.196534234995774,0.196534234995774,0.0629464487362315,0.751555290968342,0.666642122478085,0.0849131684902568,10260000,475000,9785000,28,712,22746,49
1,6,30,5,10,0.175644028103045,0.175644028103045,0.0398535334376711,0.721535643766203,0.66700447220952,0.054531171556683,8247500,496250,7751250,28,695,22763,49
